order_year,order_month,monthly_revenue
2016,9,134.97
2016,10,41766.480000000134
2016,12,10.9
2017,1,120345.0999999995
2017,2,246756.53999999558
2017,3,381950.290000002
2017,4,361448.4799999997
2017,5,530399.370000009
2017,6,443533.8100000046
2017,7,516873.2400000098
2017,8,581667.6300000172
2017,9,646540.6600000168
2017,10,678963.1500000182
2017,11,1027162.8700000374
2017,12,753879.9400000208
2018,1,962395.4900000416
2018,2,864539.2900000329
2018,3,996420.8000000329
2018,4,1007672.7400000315
2018,5,1012775.8500000292
2018,6,900827.4100000235
2018,7,898564.9800000192
2018,8,868369.7400000251
